Observation Number,y,X1,X2,X3
1,0.222,7.3,0,0
2,0.395,8.7,0,0.3
3,0.422,8.8,0.7,1
4,0.437,8.1,4,0.2
5,0.428,9,0.5,1
6,0.467,8.7,1.5,2.8
7,0.444,9.3,2.1,1
8,0.378,7.6,5.1,3.4
9,0.494,10,0,0.3
10,0.456,8.4,3.7,4.1
11,0.452,9.3,3.6,2
12,0.112,7.7,2.8,7.1
13,0.432,9.8,4.2,2
14,0.101,7.3,2.5,6.8
15,0.232,8.5,2,6.6
16,0.306,9.5,2.5,5
17,0.0923,7.4,2.8,7.8
18,0.116,7.8,2.8,7.7
19,0.0764,7.7,3,8
20,0.439,10.3,1.7,4.2
21,0.0944,7.8,3.3,8.5
22,0.117,7.1,3.9,6.6
23,0.0726,7.7,4.3,9.5
24,0.0412,7.4,6,10.9
25,0.251,7.3,2,5.2
26,0.00002,7.6,7.8,20.7
